Year,BHR,BRA,BRN,CHE,CHN,COD,DEU,ERI,ETH,IDN,IND,IRL,ISL,JPN,KWT,LUX,MEX,MOZ,NER,NGA,OMN,PAK,PRY,QAT,RUS,SAU,SGP,TGO,TZA,USA
2000,13636.41675,3749.910848,18012.50219,38952.0342,959.3724836,405.2162186,23694.76048,308.1341868,124.4607909,780.1902047,443.3141938,26334.56721,32096.37226,39169.35957,18440.37852,48659.59888,7157.8145,319.3596208,197.8326834,567.9307221,8601.271944,576.1955804,1663.604939,29976.16763,1771.594116,9171.331476,23852.32703,302.958592,410.9523621,36329.95607
2001,12868.17692,3160.249345,16472.00329,39727.84667,1053.108243,153.5910441,23628.32721,316.8239534,120.7657837,748.2576087,451.5729973,28282.40988,28897.44394,34406.18246,16587.24865,48440.14202,7544.568723,296.2684069,208.3770599,590.381815,8475.968643,544.4942514,1565.054289,28517.22084,2100.352539,8684.645762,21700.02005,292.8231035,406.5387573,37133.62311
2002,13049.90973,2839.491501,16850.39408,42578.76314,1148.50829,175.009951,25197.2656,293.9556724,111.9272251,900.1775881,470.9867868,32705.43456,32409.21615,32820.79364,17846.37616,53005.73392,7593.137345,302.5452337,228.2359086,741.7474939,8626.965234,534.3039007,1300.852367,30214.67042,2377.529541,8695.396483,22159.68886,328.3981073,411.9723206,37997.75966
2003,14222.0368,3070.436419,18560.5035,49470.39713,1288.643252,173.7961252,30310.3576,334.5855715,119.490396,1065.64852,546.7266135,41203.52958,39476.69785,35387.03742,22148.37815,65689.32145,7075.369643,326.0751909,268.349893,795.3862287,9066.312371,599.3763305,1365.416418,34517.60321,2975.125244,9609.968686,23730.15245,396.9205798,431.2797241,39490.27496
2004,15846.50595,3637.31389,21902.02712,54878.471,1508.668098,194.0400026,34106.65812,407.769077,136.46625,1150.261367,627.7742417,47754.20232,47334.93065,38298.98017,27011.654,76544.91709,7484.486399,383.2702219,286.4900658,1007.874342,10126.13774,687.8364127,1679.49512,42124.94084,4102.364746,11185.13704,27608.53737,413.3298662,459.2593079,41724.63163
2005,17959.39683,4790.456566,26105.42203,56546.78566,1753.417829,218.3862267,34520.23965,388.5959475,162.4327286,1263.287332,714.8610154,50933.02161,56794.85016,37812.89502,35591.03713,80988.13762,8277.671564,416.8098242,321.7236612,1268.383462,12377.08001,748.9225893,1843.634108,51455.95094,5323.462891,13791.45476,29961.26328,406.562366,492.6313477,44123.40707
2006,19307.50894,5886.391522,30979.96284,59300.61722,2099.229435,255.4330432,36353.88033,415.0360305,194.6874329,1589.801489,806.7532806,54329.16186,57492.93425,35991.546,42781.56475,90788.80049,9068.294218,435.3340633,336.2819503,1656.424794,14420.51204,836.8605262,2271.088885,59530.561,6920.188965,15384.73836,33769.15416,408.0571173,485.4974365,46302.00088
2007,20976.44229,7348.187963,32663.39237,65359.51922,2693.970063,286.3304725,41640.08087,439.8321034,244.2860523,1860.002811,1028.334772,61396.41746,69495.72674,35779.02454,45782.14857,107475.3203,9642.680517,482.1985636,390.2844802,1883.461388,15838.46956,908.0950852,2976.84448,65421.37692,9101.254883,16516.63178,39432.93835,449.7382505,552.8394775,48050.22378
2008,23066.45098,8831.183643,37934.67645,74572.23237,3468.304602,327.5637218,45612.71062,450.6323989,326.4368228,2166.854231,998.5223415,61353.10656,56943.37045,39876.30397,55494.9301,120422.1379,10016.57121,563.6496343,478.502559,2259.114059,22139.74071,990.8466112,4047.702445,80234.19083,11635.27246,20078.26007,40007.46926,546.3503702,687.3904419,48570.04598
2009,19355.92101,8597.794335,27956.00514,72083.1677,3832.236432,298.6196916,41650.36783,595.1099872,380.5690032,2261.247309,1101.960838,52133.09062,41301.27322,41308.99684,37561.72593,109419.747,8002.972178,520.4026316,464.057999,1911.607866,16823.79498,957.9956753,3626.747293,59094.65918,8562.813477,16113.14371,38927.20688,540.6087126,695.2168579,47194.94335
2010,20722.07049,11286.07154,35270.64214,77117.12601,4550.453108,334.0215777,41572.45595,501.355317,341.5541227,3122.362673,1357.563727,48655.36616,43237.07295,44968.15623,38577.49828,110885.9914,9271.398396,471.90436,476.8695322,2280.437337,21369.35297,987.409712,4342.065845,67403.08768,10674.99609,19262.5476,47236.96023,534.0447826,743.4036865,48650.64313
2011,22514.20272,13245.38737,47055.96064,91254.03476,5614.352135,387.082477,46705.8958,642.5082588,354.4795719,3643.047176,1458.104066,52177.11268,47714.59223,48760.07895,48631.7834,119025.0572,10203.4213,594.5861485,512.595335,2487.598017,23837.31094,1164.978823,5326.358284,82409.94164,14311.08398,23745.88058,53890.42873,587.0974928,781.4338989,50065.9665
2012,23654.36959,12370.22325,47739.55769,86547.67089,6300.615118,424.6003738,43855.85447,,467.0778718,3694.35934,1443.882435,49026.02307,45995.54788,49145.28043,51979.12069,112584.6763,10241.72783,657.6450363,529.7444581,2723.822191,24988.01259,1198.117637,5185.141549,85075.98654,15420.875,25243.602,55546.48854,571.8067239,867.8574829,51784.41857
2013,24744.29696,12300.38671,44740.85942,88109.48675,7020.338485,457.9637475,46298.92292,,499.5315302,3623.927241,1449.610451,51533.03457,49804.983,40898.6479,49388.05338,120000.1407,10725.18359,664.0772657,552.569139,2961.549422,23888.62658,1208.91771,5936.975959,85050.68435,15974.64453,24845.12466,56967.42579,621.3988536,970.3995972,53291.12769
2014,24989.43753,12112.83496,41725.86752,89684.70758,7636.116601,486.7870951,48023.86998,,566.9264029,3491.637491,1573.885642,55599.8508,54576.74481,38475.39525,44062.34091,123678.7021,10928.91601,673.9694763,564.5967488,3098.985791,23017.93398,1251.175719,6118.31811,83858.34046,14095.64844,24464.21256,57562.53079,640.9342196,1030.077637,55123.84979
2015,22634.08565,8813.989806,31164.03625,84776.14217,8016.431435,497.3170391,41103.25644,,640.5419231,3331.695115,1605.605445,62012.48493,52951.68151,34960.63938,29869.55275,105462.0126,9616.645558,589.8594314,484.1531374,2687.480056,18444.927,1356.667831,5413.776021,63039.11263,9313.013672,20627.92178,55646.61875,570.9099672,947.9333496,56762.72945
2016,22608.45256,8710.06329,27158.40565,83073.28008,8094.363367,471.3188225,42136.12079,,717.1248698,3562.816334,1732.554242,62861.63912,61987.92636,39375.47316,27653.15762,106899.2935,8744.515559,428.9264503,500.2149113,2176.002772,16772.73921,1540.184503,5324.609068,57162.96801,8704.898438,19878.76817,56860.41324,803.1518934,966.5029907,57866.74493
2017,23742.93734,9928.675897,28571.60829,83352.08865,8816.986905,467.0742317,44652.58917,,768.5230154,3837.578024,1980.66702,69774.02897,72010.14903,38834.05293,29759.46747,110193.2138,9287.849587,461.4149278,517.7715723,1968.565398,17329.18546,1631.531909,5678.869972,59124.86727,10720.33301,20802.46179,61150.7272,830.7452767,1004.906616,59914.7778